school_name,city,postal_code,lat,lon
Pickering High School,Ajax,L1T2W7,43.8734,-79.0369
Pierre Elliott Trudeau Public School,OSHAWA,L1K2S7,43.9444,-78.858
Pine Ridge Secondary School,Pickering,L1X1V4,43.84,-79.09
Port Perry High School,PORT PERRY,L9L1L7,44.1065,-79.0351
Prince Albert Public School,PRINCE ALBERT,L9L1C3,44.1065,-79.0351
Pringle Creek Public School,Whitby,L1N8M1,43.89,-78.94
Quaker Village Public School,UXBRIDGE,L9P1G1,44.1,-79.12
Queen Elizabeth Public School,Oshawa,L1G4X1,43.9122,-78.8474
R H Cornish Public School,Port Perry,L9L1K2,44.1065,-79.0351
R S Mclaughlin Collegiate and Vocational Institute,Oshawa,L1J5P1,43.904,-78.8844
Robert Munsch Public School,Whitby,L1R0J2,43.9117,-78.9382
Roland Michener Public School,Ajax,L1S6S2,43.8462,-79.0415
Romeo Dallaire Public School,Ajax,L1Z0H6,43.86,-79.02
Rosebank Road Public School,Pickering,L1W2N6,43.8158,-79.1103
Rosemary Brown Public School,Ajax,L1T0H7,43.8734,-79.0369
S A Cawker Public School,Port Perry,L9L1P3,44.1065,-79.0351
Scott Central Public School,SANDFORD,L0C1E0,44.08,-79.1
Seneca Trail Public School,Oshawa,L1K0S1,43.9444,-78.858
Sherwood Public School,OSHAWA,L1K2W6,43.9444,-78.858
Sinclair Secondary School,Whitby,L1R2K5,43.9117,-78.9382
Sir Samuel Steele Public School,Whitby,L1R2S6,43.9117,-78.9382
Sir William Stephenson Public School,Whitby,L1N4A6,43.89,-78.94
Southwood Park Public School,Ajax,L1S1M5,43.8462,-79.0415
Stephen G Saywell Public School,Oshawa,L1J7V1,43.904,-78.8844
Sunderland Public School,SUNDERLAND,L0C1H0,44.08,-79.1
Sunset Heights Public School,Oshawa,L1G4G7,43.9122,-78.8474
Terry Fox Public School,AJAX,L1Z1K1,43.86,-79.02
Uxbridge Public School,UXBRIDGE,L9P1H2,44.1,-79.12
Uxbridge Secondary School,Uxbridge,L9P1K5,44.1,-79.12
Valley Farm Public School,PICKERING,L1X2K5,43.84,-79.09
Valley View Public School,Greenwood,L1X0J5,43.84,-79.09
Vaughan Willard Public School,PICKERING,L1V1V4,43.8449,-79.1018
Village Union Public School,Oshawa,L1J1Y4,43.904,-78.8844
Vimy Ridge Public School,Ajax,L1T4Z4,43.8734,-79.0369
Vincent Massey Public School,Oshawa,L1G6L4,43.9122,-78.8474
Viola Desmond Public School,Ajax,L1Z0M6,43.86,-79.02
Walter E Harris Public School,OSHAWA,L1G6A2,43.9122,-78.8474
Waverly Public School,Oshawa,L1J5V1,43.904,-78.8844
West Lynde Public School,Whitby,L1N6B1,43.89,-78.94
Westcreek Public School,PICKERING,L1V6M9,43.8449,-79.1018
Westney Heights Public School,AJAX,L1T1X5,43.8734,-79.0369
Whitby Shores Public School,Whitby,L1N0G8,43.89,-78.94
William Dunbar Public School,Pickering,L1V5E5,43.8449,-79.1018
Williamsburg Public School,Whitby,L1P1W7,43.8962,-78.9672
Willows Walk Public School,Whitby,L1R3A2,43.9117,-78.9382
Winchester Public School,BROOKLIN,L1M1E8,43.9681,-78.944
Woodcrest Public School,Oshawa,L1J2T8,43.904,-78.8844
da Vinci Public School Public School,Ajax,L1T0A9,43.8734,-79.0369
